region,site,block_ID_original,plot_ID_original,position_ID_original,species,treat_warming,treat_competition,added_focals,block_ID,position_ID,unique_plot_ID,unique_plant_ID
ZAF,lo,1,1,1,euppul,ambi,vege,wf,01,01,ZAF.lo.ambi.vege.wf.01,ZAF.lo.ambi.vege.wf.01.01
ZAF,lo,1,1,2,cotpan,ambi,vege,wf,01,02,ZAF.lo.ambi.vege.wf.01,ZAF.lo.ambi.vege.wf.01.02
ZAF,lo,1,1,3,arijuc,ambi,vege,wf,01,03,ZAF.lo.ambi.vege.wf.01,ZAF.lo.ambi.vege.wf.01.03
ZAF,lo,1,1,4,watsoc,ambi,vege,wf,01,04,ZAF.lo.ambi.vege.wf.01,ZAF.lo.ambi.vege.wf.01.04
ZAF,lo,1,1,5,melner,ambi,vege,wf,01,05,ZAF.lo.ambi.vege.wf.01,ZAF.lo.ambi.vege.wf.01.05
ZAF,lo,1,1,6,diepau,ambi,vege,wf,01,06,ZAF.lo.ambi.vege.wf.01,ZAF.lo.ambi.vege.wf.01.06
ZAF,lo,1,1,7,cotorb,ambi,vege,wf,01,07,ZAF.lo.ambi.vege.wf.01,ZAF.lo.ambi.vege.wf.01.07
ZAF,lo,1,1,8,diepau,ambi,vege,wf,01,08,ZAF.lo.ambi.vege.wf.01,ZAF.lo.ambi.vege.wf.01.08
ZAF,lo,1,1,9,budsal,ambi,vege,wf,01,09,ZAF.lo.ambi.vege.wf.01,ZAF.lo.ambi.vege.wf.01.09
ZAF,lo,1,1,10,eracap,ambi,vege,wf,01,10,ZAF.lo.ambi.vege.wf.01,ZAF.lo.ambi.vege.wf.01.10
ZAF,lo,1,1,11,cribul,ambi,vege,wf,01,11,ZAF.lo.ambi.vege.wf.01,ZAF.lo.ambi.vege.wf.01.11
ZAF,lo,1,1,12,alomac,ambi,vege,wf,01,12,ZAF.lo.ambi.vege.wf.01,ZAF.lo.ambi.vege.wf.01.12
ZAF,lo,1,2,1,alomac,ambi,bare,wf,01,01,ZAF.lo.ambi.bare.wf.01,ZAF.lo.ambi.bare.wf.01.01
ZAF,lo,1,2,2,budsal,ambi,bare,wf,01,02,ZAF.lo.ambi.bare.wf.01,ZAF.lo.ambi.bare.wf.01.02
ZAF,lo,1,2,3,arijuc,ambi,bare,wf,01,03,ZAF.lo.ambi.bare.wf.01,ZAF.lo.ambi.bare.wf.01.03
ZAF,lo,1,2,4,zervis,ambi,bare,wf,01,04,ZAF.lo.ambi.bare.wf.01,ZAF.lo.ambi.bare.wf.01.04
ZAF,lo,1,2,5,budlor,ambi,bare,wf,01,05,ZAF.lo.ambi.bare.wf.01,ZAF.lo.ambi.bare.wf.01.05
ZAF,lo,1,2,6,scinat,ambi,bare,wf,01,06,ZAF.lo.ambi.bare.wf.01,ZAF.lo.ambi.bare.wf.01.06
ZAF,lo,1,2,7,cotorb,ambi,bare,wf,01,07,ZAF.lo.ambi.bare.wf.01,ZAF.lo.ambi.bare.wf.01.07
ZAF,lo,1,2,8,eracap,ambi,bare,wf,01,08,ZAF.lo.ambi.bare.wf.01,ZAF.lo.ambi.bare.wf.01.08
ZAF,lo,1,2,9,cotpan,ambi,bare,wf,01,09,ZAF.lo.ambi.bare.wf.01,ZAF.lo.ambi.bare.wf.01.09
ZAF,lo,1,2,10,eupcla,ambi,bare,wf,01,10,ZAF.lo.ambi.bare.wf.01,ZAF.lo.ambi.bare.wf.01.10
ZAF,lo,1,2,11,melner,ambi,bare,wf,01,11,ZAF.lo.ambi.bare.wf.01,ZAF.lo.ambi.bare.wf.01.11
ZAF,lo,1,2,12,knilin,ambi,bare,wf,01,12,ZAF.lo.ambi.bare.wf.01,ZAF.lo.ambi.bare.wf.01.12
ZAF,lo,2,1,1,cotorb,ambi,bare,wf,02,01,ZAF.lo.ambi.bare.wf.02,ZAF.lo.ambi.bare.wf.02.01
ZAF,lo,2,1,2,diolyc,ambi,bare,wf,02,02,ZAF.lo.ambi.bare.wf.02,ZAF.lo.ambi.bare.wf.02.02
ZAF,lo,2,1,3,arijuc,ambi,bare,wf,02,03,ZAF.lo.ambi.bare.wf.02,ZAF.lo.ambi.bare.wf.02.03
ZAF,lo,2,1,4,knilin,ambi,bare,wf,02,04,ZAF.lo.ambi.bare.wf.02,ZAF.lo.ambi.bare.wf.02.04
ZAF,lo,2,1,5,melner,ambi,bare,wf,02,05,ZAF.lo.ambi.bare.wf.02,ZAF.lo.ambi.bare.wf.02.05
ZAF,lo,2,1,6,xervis,ambi,bare,wf,02,06,ZAF.lo.ambi.bare.wf.02,ZAF.lo.ambi.bare.wf.02.06
ZAF,lo,2,1,7,budlor,ambi,bare,wf,02,07,ZAF.lo.ambi.bare.wf.02,ZAF.lo.ambi.bare.wf.02.07
ZAF,lo,2,1,8,eupcla,ambi,bare,wf,02,08,ZAF.lo.ambi.bare.wf.02,ZAF.lo.ambi.bare.wf.02.08
ZAF,lo,2,1,9,scinat,ambi,bare,wf,02,09,ZAF.lo.ambi.bare.wf.02,ZAF.lo.ambi.bare.wf.02.09
ZAF,lo,2,1,10,eracap,ambi,bare,wf,02,10,ZAF.lo.ambi.bare.wf.02,ZAF.lo.ambi.bare.wf.02.10
ZAF,lo,2,1,11,cotpan,ambi,bare,wf,02,11,ZAF.lo.ambi.bare.wf.02,ZAF.lo.ambi.bare.wf.02.11
ZAF,lo,2,1,12,alomac,ambi,bare,wf,02,12,ZAF.lo.ambi.bare.wf.02,ZAF.lo.ambi.bare.wf.02.12
ZAF,lo,2,2,1,eupcla,ambi,vege,wf,02,01,ZAF.lo.ambi.vege.wf.02,ZAF.lo.ambi.vege.wf.02.01
ZAF,lo,2,2,2,budsal,ambi,vege,wf,02,02,ZAF.lo.ambi.vege.wf.02,ZAF.lo.ambi.vege.wf.02.02
ZAF,lo,2,2,3,arijuc,ambi,vege,wf,02,03,ZAF.lo.ambi.vege.wf.02,ZAF.lo.ambi.vege.wf.02.03
ZAF,lo,2,2,4,scinat,ambi,vege,wf,02,04,ZAF.lo.ambi.vege.wf.02,ZAF.lo.ambi.vege.wf.02.04
ZAF,lo,2,2,5,melner,ambi,vege,wf,02,05,ZAF.lo.ambi.vege.wf.02,ZAF.lo.ambi.vege.wf.02.05
ZAF,lo,2,2,6,cotorb,ambi,vege,wf,02,06,ZAF.lo.ambi.vege.wf.02,ZAF.lo.ambi.vege.wf.02.06
ZAF,lo,2,2,7,xervis,ambi,vege,wf,02,07,ZAF.lo.ambi.vege.wf.02,ZAF.lo.ambi.vege.wf.02.07
ZAF,lo,2,2,8,cotpan,ambi,vege,wf,02,08,ZAF.lo.ambi.vege.wf.02,ZAF.lo.ambi.vege.wf.02.08
ZAF,lo,2,2,9,budsal,ambi,vege,wf,02,09,ZAF.lo.ambi.vege.wf.02,ZAF.lo.ambi.vege.wf.02.09
ZAF,lo,2,2,10,eracap ,ambi,vege,wf,02,10,ZAF.lo.ambi.vege.wf.02,ZAF.lo.ambi.vege.wf.02.10
ZAF,lo,2,2,11,alomac,ambi,vege,wf,02,11,ZAF.lo.ambi.vege.wf.02,ZAF.lo.ambi.vege.wf.02.11
ZAF,lo,2,2,12,zervis,ambi,vege,wf,02,12,ZAF.lo.ambi.vege.wf.02,ZAF.lo.ambi.vege.wf.02.12
ZAF,lo,3,1,1,euppul,ambi,vege,wf,03,01,ZAF.lo.ambi.vege.wf.03,ZAF.lo.ambi.vege.wf.03.01
ZAF,lo,3,1,2,diepau,ambi,vege,wf,03,02,ZAF.lo.ambi.vege.wf.03,ZAF.lo.ambi.vege.wf.03.02
ZAF,lo,3,1,3,leucser,ambi,vege,wf,03,03,ZAF.lo.ambi.vege.wf.03,ZAF.lo.ambi.vege.wf.03.03
ZAF,lo,3,1,4,melner,ambi,vege,wf,03,04,ZAF.lo.ambi.vege.wf.03,ZAF.lo.ambi.vege.wf.03.04
ZAF,lo,3,1,5,arijuc,ambi,vege,wf,03,05,ZAF.lo.ambi.vege.wf.03,ZAF.lo.ambi.vege.wf.03.05
ZAF,lo,3,1,6,cribul,ambi,vege,wf,03,06,ZAF.lo.ambi.vege.wf.03,ZAF.lo.ambi.vege.wf.03.06
ZAF,lo,3,1,7,cotorb,ambi,vege,wf,03,07,ZAF.lo.ambi.vege.wf.03,ZAF.lo.ambi.vege.wf.03.07
ZAF,lo,3,1,8,cotpan,ambi,vege,wf,03,08,ZAF.lo.ambi.vege.wf.03,ZAF.lo.ambi.vege.wf.03.08
ZAF,lo,3,1,9,alomac,ambi,vege,wf,03,09,ZAF.lo.ambi.vege.wf.03,ZAF.lo.ambi.vege.wf.03.09
ZAF,lo,3,1,10,budlor,ambi,vege,wf,03,10,ZAF.lo.ambi.vege.wf.03,ZAF.lo.ambi.vege.wf.03.10
ZAF,lo,3,1,11,watsoc,ambi,vege,wf,03,11,ZAF.lo.ambi.vege.wf.03,ZAF.lo.ambi.vege.wf.03.11
ZAF,lo,3,1,12,eracap,ambi,vege,wf,03,12,ZAF.lo.ambi.vege.wf.03,ZAF.lo.ambi.vege.wf.03.12
ZAF,lo,3,2,1,eupcla,ambi,bare,wf,03,01,ZAF.lo.ambi.bare.wf.03,ZAF.lo.ambi.bare.wf.03.01
ZAF,lo,3,2,2,budsal,ambi,bare,wf,03,02,ZAF.lo.ambi.bare.wf.03,ZAF.lo.ambi.bare.wf.03.02
ZAF,lo,3,2,3,arijuc,ambi,bare,wf,03,03,ZAF.lo.ambi.bare.wf.03,ZAF.lo.ambi.bare.wf.03.03
ZAF,lo,3,2,4,zervis,ambi,bare,wf,03,04,ZAF.lo.ambi.bare.wf.03,ZAF.lo.ambi.bare.wf.03.04
ZAF,lo,3,2,5,eracap,ambi,bare,wf,03,05,ZAF.lo.ambi.bare.wf.03,ZAF.lo.ambi.bare.wf.03.05
ZAF,lo,3,2,6,scinat,ambi,bare,wf,03,06,ZAF.lo.ambi.bare.wf.03,ZAF.lo.ambi.bare.wf.03.06
ZAF,lo,3,2,7,rosrub,ambi,bare,wf,03,07,ZAF.lo.ambi.bare.wf.03,ZAF.lo.ambi.bare.wf.03.07
ZAF,lo,3,2,8,cotorb,ambi,bare,wf,03,08,ZAF.lo.ambi.bare.wf.03,ZAF.lo.ambi.bare.wf.03.08
ZAF,lo,3,2,9,knilin,ambi,bare,wf,03,09,ZAF.lo.ambi.bare.wf.03,ZAF.lo.ambi.bare.wf.03.09
ZAF,lo,3,2,10,alomac,ambi,bare,wf,03,10,ZAF.lo.ambi.bare.wf.03,ZAF.lo.ambi.bare.wf.03.10
ZAF,lo,3,2,11,melner,ambi,bare,wf,03,11,ZAF.lo.ambi.bare.wf.03,ZAF.lo.ambi.bare.wf.03.11
ZAF,lo,3,2,12,pyrang,ambi,bare,wf,03,12,ZAF.lo.ambi.bare.wf.03,ZAF.lo.ambi.bare.wf.03.12
ZAF,lo,4,1,1,alomac,ambi,bare,wf,04,01,ZAF.lo.ambi.bare.wf.04,ZAF.lo.ambi.bare.wf.04.01
ZAF,lo,4,1,2,leuser,ambi,bare,wf,04,02,ZAF.lo.ambi.bare.wf.04,ZAF.lo.ambi.bare.wf.04.02
ZAF,lo,4,1,3,melner,ambi,bare,wf,04,03,ZAF.lo.ambi.bare.wf.04,ZAF.lo.ambi.bare.wf.04.03
ZAF,lo,4,1,4,knilin,ambi,bare,wf,04,04,ZAF.lo.ambi.bare.wf.04,ZAF.lo.ambi.bare.wf.04.04
ZAF,lo,4,1,5,rosrub,ambi,bare,wf,04,05,ZAF.lo.ambi.bare.wf.04,ZAF.lo.ambi.bare.wf.04.05
ZAF,lo,4,1,6,zervis,ambi,bare,wf,04,06,ZAF.lo.ambi.bare.wf.04,ZAF.lo.ambi.bare.wf.04.06
ZAF,lo,4,1,7,eracap,ambi,bare,wf,04,07,ZAF.lo.ambi.bare.wf.04,ZAF.lo.ambi.bare.wf.04.07
ZAF,lo,4,1,8,alomac,ambi,bare,wf,04,08,ZAF.lo.ambi.bare.wf.04,ZAF.lo.ambi.bare.wf.04.08
ZAF,lo,4,1,9,euppul,ambi,bare,wf,04,09,ZAF.lo.ambi.bare.wf.04,ZAF.lo.ambi.bare.wf.04.09
ZAF,lo,4,1,10,watsoc,ambi,bare,wf,04,10,ZAF.lo.ambi.bare.wf.04,ZAF.lo.ambi.bare.wf.04.10
ZAF,lo,4,1,11,arijuc,ambi,bare,wf,04,11,ZAF.lo.ambi.bare.wf.04,ZAF.lo.ambi.bare.wf.04.11
ZAF,lo,4,1,12,budsal,ambi,bare,wf,04,12,ZAF.lo.ambi.bare.wf.04,ZAF.lo.ambi.bare.wf.04.12
