date	Treat_veg	Treat_OTC	Flunctional_group	Species	Plot	Position	vh 	vw 	nlc	nb	lll 	Dia 						
2021-11-17	withveg	withOTC	Succulent	Aloe_maculata	1.1	1	10	156	7	NA	12	NA						
2022-01-23	withveg	withOTC	Succulent	Aloe_maculata	1.1	1	10	156	6	NA	7	NA						
2022-03-22	withveg	withOTC	Succulent	Aloe_maculata	1.1	1	13	196	10	NA	10	NA						
2021-11-17	withveg	withOTC	Succulent	Euphorbia_clavarioides	1.1	6	NA	NA	NA	NA	NA	NA						
2022-01-23	withveg	withOTC	Succulent	Euphorbia_clavarioides	1.1	6	4	132	NA	NA	NA	NA						
2022-03-22	withveg	withOTC	Succulent	Euphorbia_clavarioides	1.1	6	4	144	NA	NA	NA	NA						
2021-11-17	withveg	withOTC	Succulent	Cotyledon_orbiculata	1.1	11	9	40	4	NA	7	NA						
2022-01-23	withveg	withOTC	Succulent	Cotyledon_orbiculata	1.1	11	7	49	10	NA	7	NA						
2022-03-22	withveg	withOTC	Succulent	Cotyledon_orbiculata	1.1	11	9	7	9	NA	8	NA						
2021-11-17	withveg	withOTC	Shrub	Cotoneaster	1.1	2	23	60	11	3	3	2.47						
2022-01-23	withveg	withOTC	Shrub	Cotoneaster	1.1	2	23	60	NA	3	2	2.42						
2022-03-22	withveg	withOTC	Shrub	Cotoneaster	1.1	2	22	9	3	2	1	4						
2021-11-17	withveg	withOTC	Shrub	Cliffortia	1.1	5	10	40	15	4	1	2.15						
2022-01-23	withveg	withOTC	Shrub	Cliffortia	1.1	5	12	54	30	5	0.5	1.06						
2022-03-22	withveg	withOTC	Shrub	Cliffortia	1.1	5	8	80	30	3	0.5	2.04						
2021-11-17	withveg	withOTC	Shrub	Buddleja_salviifolia	1.1	12	19	400	25	3	7	2.19						
2022-01-23	withveg	withOTC	Shrub	Buddleja_salviifolia	1.1	12	22	220	27	3	12	2.45						
2022-03-22	withveg	withOTC	Shrub	Buddleja_salviifolia	1.1	12	25	392	4	3	7.5	4.04						
2021-11-17	withveg	withOTC	Geophyte	Scilla	1.1	3	26	130	NA	NA	NA	NA						
2022-01-23	withveg	withOTC	Geophyte	Scilla	1.1	3	20	120	NA	NA	NA	NA						
2022-03-22	withveg	withOTC	Geophyte	Scilla	1.1	3	44	324	NA	NA	NA	NA						
2021-11-17	withveg	withOTC	Geophyte	Xerophyta_viscosa	1.1	7	10	144	NA	NA	NA	NA						
2022-01-23	withveg	withOTC	Geophyte	Xerophyta_viscosa	1.1	7	12	36	NA	NA	NA	NA						
2022-03-22	withveg	withOTC	Geophyte	Xerophyta_viscosa	1.1	7	14	100	NA	NA	NA	NA						
2021-11-17	withveg	withOTC	Geophyte	Watsonia_socialis_	1.1	10	60	9	3	NA	NA	NA						
2022-01-23	withveg	withOTC	Geophyte	Watsonia_socialis_	1.1	10	19	1	1	NA	NA	NA						
2022-03-22	withveg	withOTC	Geophyte	Watsonia_socialis_	1.1	10	NA	NA	NA	NA	NA	NA						
2021-11-17	withveg	withOTC	Grass	Eragrostis	1.1	4	16	18	4	NA	10	NA						
2022-01-23	withveg	withOTC	Grass	Eragrostis	1.1	4	21	35	NA	NA	NA	NA						
2022-03-22	withveg	withOTC	Grass	Eragrostis	1.1	4	30	648	8	NA	30	NA						
2021-11-17	withveg	withOTC	Grass	_Aristidia_juciformis	1.1	8	35	60	NA	NA	NA	NA						
2022-01-23	withveg	withOTC	Grass	_Aristidia_juciformis	1.1	8	20	49	NA	NA	NA	NA						
2022-03-22	withveg	withOTC	Grass	_Aristidia_juciformis	1.1	8	13	36	NA	NA	NA	NA						
2021-11-17	withveg	withOTC	Grass	Melinis_nerviglumis_	1.1	9	10	25	NA	NA	NA	NA						
2022-01-23	withveg	withOTC	Grass	Melinis_nerviglumis_	1.1	9	6	4	NA	NA	NA	NA						
2022-03-22	withveg	withOTC	Grass	Melinis_nerviglumis_	1.1	9	15	4	NA	NA	NA	NA						
2021-11-17	withveg	noOTC	Succulent	Aloe_maculata	1.2	1	7	81	NA	NA	NA	NA						
2022-01-23	withveg	noOTC	Succulent	Aloe_maculata	1.2	1	6	120	4	NA	NA	NA						
2022-03-22	withveg	noOTC	Succulent	Aloe_maculata	1.2	1	7	144	10	NA	5	NA						
2021-11-17	withveg	noOTC	Succulent	Cotyledon_orbiculata	1.2	6	10	238	NA	NA	NA	NA						
2022-01-23	withveg	noOTC	Succulent	Cotyledon_orbiculata	1.2	6	10	225	NA	NA	NA	NA						
2022-03-22	withveg	noOTC	Succulent	Cotyledon_orbiculata	1.2	6	13	484	NA	NA	NA	NA						
2021-11-17	withveg	noOTC	Succulent	Euphorbia_clavarioides	1.2	11	5	40	7	NA	NA	NA						
2022-01-23	withveg	noOTC	Succulent	Euphorbia_clavarioides	1.2	11	4	30	9	NA	NA	NA						
2022-03-22	withveg	noOTC	Succulent	Euphorbia_clavarioides	1.2	11	5	36	9	NA	NA	NA						
2021-11-17	withveg	noOTC	Shrub	Cotoneaster	1.2	2	7	42	10	3	2	4						
2022-01-23	withveg	noOTC	Shrub	Cotoneaster	1.2	2	5	9	10	3	2	2.57						
2022-03-22	withveg	noOTC	Shrub	Cotoneaster	1.2	2	6	16	10	3	2	2.8						
2021-11-17	withveg	noOTC	Shrub	Buddleja_loricata	1.2	5	6	576	25	3	1	6.38						
2022-01-23	withveg	noOTC	Shrub	Buddleja_loricata	1.2	5	52	552	25	3	1	3.23						
2022-03-22	withveg	noOTC	Shrub	Buddleja_loricata	1.2	5	64	595	25	3	1	5.78						
2021-11-17	withveg	noOTC	Shrub	Leucosidea_sericea	1.2	12	17	54	18	3	7	3.93						
2022-01-23	withveg	noOTC	Shrub	Leucosidea_sericea	1.2	12	NA	NA	NA	NA	NA	NA						
2022-03-22	withveg	noOTC	Shrub	Leucosidea_sericea	1.2	12	NA	NA	NA	NA	NA	NA						
2021-11-17	withveg	noOTC	Geophyte	Scilla_	1.2	4	1	1	1	NA	3	NA						
2022-01-23	withveg	noOTC	Geophyte	Scilla_	1.2	4	7	24	NA	NA	NA	NA						
2022-03-22	withveg	noOTC	Geophyte	Scilla_	1.2	4	7	70	3	NA	9	NA						
2021-11-17	withveg	noOTC	Geophyte	Watsonia_socialis_	1.2	7	15	12	4	NA	20	NA						
2022-01-23	withveg	noOTC	Geophyte	Watsonia_socialis_	1.2	7	11	40	4	NA	11	NA						
2022-03-22	withveg	noOTC	Geophyte	Watsonia_socialis_	1.2	7	22	72	4	NA	22	NA						
2021-11-17	withveg	noOTC	Geophyte	Xerophyta_viscosa_	1.2	10	37	1	NA	NA	10	NA						
2022-01-23	withveg	noOTC	Geophyte	Xerophyta_viscosa_	1.2	10	NA	NA	NA	NA	10	NA						
2022-03-22	withveg	noOTC	Geophyte	Xerophyta_viscosa_	1.2	10	NA	NA	NA	NA	NA	NA						
2021-11-17	withveg	noOTC	Grass	Eragrostis	1.2	3	20	45	NA	NA	NA	NA						
2022-01-23	withveg	noOTC	Grass	Eragrostis	1.2	3	12	49	NA	NA	NA	NA						
2022-03-22	withveg	noOTC	Grass	Eragrostis	1.2	3	32	150	NA	NA	NA	NA						
2021-11-17	withveg	noOTC	Grass	Aristidia_juciformis	1.2	8	40	20	NA	NA	NA	NA						
2022-01-23	withveg	noOTC	Grass	Aristidia_juciformis	1.2	8	26	100	NA	NA	NA	NA						
2022-03-22	withveg	noOTC	Grass	Aristidia_juciformis	1.2	8	30	81	NA	NA	NA	NA						
2021-11-17	withveg	noOTC	Grass	Melinis_nerviglumis_	1.2	9	14	81	NA	NA	NA	NA						
2022-01-23	withveg	noOTC	Grass	Melinis_nerviglumis_	1.2	9	10	64	NA	NA	NA	NA						
2022-03-22	withveg	noOTC	Grass	Melinis_nerviglumis_	1.2	9	8	25	NA	NA	NA	NA						
2021-11-17	noveg	noOTC	Succulent	Aloe_maculata	1.5	1	4	35	5	NA	41	NA						
2022-01-23	noveg	noOTC	Succulent	Aloe_maculata	1.5	1	3	40	NA	NA	7	NA						
2022-03-22	noveg	noOTC	Succulent	Aloe_maculata	1.5	1	4	25	4	NA	4	NA						
2021-11-17	noveg	noOTC	Succulent	Cotyledon_orbiculata	1.5	6	7	42	21	NA	7	NA						
2022-01-23	noveg	noOTC	Succulent	Cotyledon_orbiculata	1.5	6	6	63	15	NA	6	NA						
